12:30:13.204 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
12:30:29.531 14-02-2018 | INFO  | sample.App.GUI      :196   | Changing scene to menuScene
12:30:31.398 14-02-2018 | INFO  | sample.App.GUI      :183   | Exiting game.
12:47:05.247 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
12:47:13.066 14-02-2018 | INFO  | sample.App.GUI      :196   | Changing scene to menuScene
12:47:16.415 14-02-2018 | INFO  | sample.App.GUI$1    :68    | Changing scene to gameScene. Starting game.
12:47:20.754 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
12:47:23.645 14-02-2018 | INFO  | sample.App.GUI      :196   | Changing scene to menuScene
12:47:24.568 14-02-2018 | INFO  | sample.App.GUI      :183   | Exiting game.
13:37:41.792 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
13:37:48.721 14-02-2018 | INFO  | sample.App.GUI      :196   | Changing scene to menuScene
13:37:50.013 14-02-2018 | INFO  | sample.App.GUI$1    :68    | Changing scene to gameScene. Starting game.
13:41:31.301 14-02-2018 | INFO  | sample.App.GUI      :183   | Exiting game.
13:52:52.345 14-02-2018 | INFO  | sample.App.GUI      :178   | Changing scene to scoreScene
13:52:54.968 14-02-2018 | INFO  | sample.App.GUI      :195   | Changing scene to menuScene
13:52:55.956 14-02-2018 | INFO  | sample.App.GUI      :178   | Changing scene to scoreScene
13:52:57.007 14-02-2018 | INFO  | sample.App.GUI      :195   | Changing scene to menuScene
13:52:57.766 14-02-2018 | INFO  | sample.App.GUI      :182   | Exiting game.
13:53:37.295 14-02-2018 | INFO  | sample.App.GUI      :178   | Changing scene to scoreScene
13:53:43.620 14-02-2018 | INFO  | sample.App.GUI      :195   | Changing scene to menuScene
13:53:44.646 14-02-2018 | INFO  | sample.App.GUI$1    :67    | Changing scene to gameScene. Starting game.
13:54:05.195 14-02-2018 | INFO  | sample.App.GUI      :178   | Changing scene to scoreScene
13:54:08.263 14-02-2018 | INFO  | sample.App.GUI      :195   | Changing scene to menuScene
13:54:12.474 14-02-2018 | INFO  | sample.App.GUI$1    :67    | Changing scene to gameScene. Starting game.
13:56:08.958 14-02-2018 | INFO  | sample.App.GUI$1    :67    | Changing scene to gameScene. Starting game.
13:56:52.344 14-02-2018 | INFO  | sample.App.GUI$1    :68    | Changing scene to gameScene. Starting game.
13:57:06.303 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
13:57:10.859 14-02-2018 | INFO  | sample.App.GUI      :196   | Changing scene to menuScene
13:57:11.768 14-02-2018 | INFO  | sample.App.GUI      :183   | Exiting game.
13:59:22.334 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
13:59:26.360 14-02-2018 | INFO  | sample.App.GUI      :196   | Changing scene to menuScene
13:59:29.675 14-02-2018 | INFO  | sample.App.GUI$1    :68    | Changing scene to gameScene. Starting game.
13:59:34.147 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
14:00:40.612 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
14:00:42.115 14-02-2018 | INFO  | sample.App.GUI      :196   | Changing scene to menuScene
14:00:47.280 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
14:00:51.336 14-02-2018 | INFO  | sample.App.GUI      :196   | Changing scene to menuScene
14:04:12.308 14-02-2018 | INFO  | sample.App.GUI$1    :68    | Changing scene to gameScene. Starting game.
14:04:41.446 14-02-2018 | INFO  | sample.App.GUI      :179   | Changing scene to scoreScene
14:21:36.113 14-02-2018 | INFO  | sample.App.GUI$1    :69    | Changing scene to gameScene. Starting game.
14:21:45.272 14-02-2018 | INFO  | sample.App.GUI      :180   | Changing scene to scoreScene
14:45:37.912 14-02-2018 | INFO  | sample.App.GUI      :180   | Changing scene to scoreScene
14:45:40.568 14-02-2018 | INFO  | sample.App.GUI$1    :69    | Changing scene to gameScene. Starting game.
14:46:23.384 14-02-2018 | INFO  | sample.App.GUI$1    :69    | Changing scene to gameScene. Starting game.
14:46:28.832 14-02-2018 | INFO  | sample.App.GUI      :184   | Exiting game.
17:34:27.335 14-02-2018 | INFO  | sample.App.GUI      :183   | Changing scene to scoreScene
17:34:30.155 14-02-2018 | INFO  | sample.App.GUI      :200   | Changing scene to menuScene
17:34:35.038 14-02-2018 | INFO  | sample.App.GUI      :187   | Exiting game.
20:40:01.747 14-02-2018 | INFO  | sample.App.GUI      :188   | Exiting game.
20:40:59.599 14-02-2018 | INFO  | sample.App.GUI$1    :71    | Changing scene to gameScene. Starting game.
21:15:33.060 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
21:18:12.933 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
21:18:23.447 14-02-2018 | INFO  | sample.App.GUI      :201   | Changing scene to menuScene
21:18:48.200 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
21:19:12.814 14-02-2018 | INFO  | sample.App.GUI      :201   | Changing scene to menuScene
21:19:13.536 14-02-2018 | INFO  | sample.App.GUI      :188   | Exiting game.
21:33:25.454 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
21:33:52.492 14-02-2018 | INFO  | sample.App.GUI      :201   | Changing scene to menuScene
21:33:53.465 14-02-2018 | INFO  | sample.App.GUI$1    :71    | Changing scene to gameScene. Starting game.
21:35:07.129 14-02-2018 | INFO  | sample.App.GUI      :188   | Exiting game.
21:40:04.223 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
21:40:08.317 14-02-2018 | INFO  | sample.App.GUI      :201   | Changing scene to menuScene
21:40:09.276 14-02-2018 | INFO  | sample.App.GUI      :188   | Exiting game.
22:07:53.774 14-02-2018 | INFO  | sample.App.GUI      :188   | Exiting game.
22:24:41.603 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
22:24:43.568 14-02-2018 | INFO  | sample.App.GUI      :201   | Changing scene to menuScene
22:25:23.591 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
22:25:26.786 14-02-2018 | INFO  | sample.App.GUI      :201   | Changing scene to menuScene
22:25:27.775 14-02-2018 | INFO  | sample.App.GUI$1    :71    | Changing scene to gameScene. Starting game.
22:27:49.890 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
22:27:50.844 14-02-2018 | INFO  | sample.App.GUI      :201   | Changing scene to menuScene
22:27:51.587 14-02-2018 | INFO  | sample.App.GUI      :188   | Exiting game.
22:27:57.844 14-02-2018 | INFO  | sample.App.GUI      :184   | Changing scene to scoreScene
22:28:02.104 14-02-2018 | INFO  | sample.App.GUI      :201   | Changing scene to menuScene
22:28:04.179 14-02-2018 | INFO  | sample.App.GUI      :188   | Exiting game.
22:39:58.715 14-02-2018 | INFO  | sample.App.GUI      :188   | Exiting game.
